year,state,country,shape,duration,latitude,longtitude
1987,New Hampshire,us,fireball,1800,43.1488889,-72.3611111
1987,North Carolina,us,triangle,180,36.0988889,-78.3013889
1989,Idaho,us,disk,180,43.9147222,-113.6125000
1989,Kentucky,us,oval,300,37.9900000,-84.1797222
1989,Illinois,us,circle,300,39.7338889,-90.2288889
1989,New York,us,oval,300,41.5619444,-73.6030556
1989,California,us,rectangle,10,38.6172222,-121.3272222
1989,Maine,us,disk,20,44.8830556,-68.6725000
1990,Washington,us,oval,300,48.0511111,-119.9022222
1990,California,us,light,120,33.7358333,-118.2913889
1990,New York,us,light,1200,42.0969444,-79.2355556
1991,South Carolina,us,other,900,34.8297222,-82.6016667
1991,California,us,circle,900,33.7800000,-118.2616667
1991,Tennessee,us,cigar,300,35.7563889,-83.9705556
1991,Arkansas,us,triangle,300,34.7463889,-92.2894444
1991,Tennessee,us,disk,900,36.1325000,-88.5186111
1991,Nevada,us,cigar,5,36.1750000,-115.1363889
1991,Georgia,us,other,900,34.7047222,-85.2819444
1992,Georgia,us,triangle,1200,32.5402778,-82.9038889
1992,Missouri,us,egg,90,37.2152778,-93.2980556
1992,Texas,us,unknown,20,32.5005556,-94.7402778
